zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
07677,15477,Public Service Elec & Gas Co,NJ,Bundled,Investor Owned,0.136582522167,0.0668426458873,0.165733958354
98358,15500,Puget Sound Energy Inc,WA,Bundled,Investor Owned,0.0941908533898,0.0892455819019,0.103703308655
12839,13573,Niagara Mohawk Power Corp.,NY,Bundled,Investor Owned,0.131290105746,0.154663270693,0.151591981743
18611,19390,UGI Utilities Inc,PA,Bundled,Investor Owned,0.115893427933,0.0998185883643,0.125692272428
08933,15477,Public Service Elec & Gas Co,NJ,Delivery,Investor Owned,0.0445110695502,0.0441860008086,0.0456434404971
43977,14006,Ohio Power Co,OH,Bundled,Investor Owned,0.0941051893015,0.05438076086,0.112022297446
12834,13573,Niagara Mohawk Power Corp.,NY,Bundled,Investor Owned,0.131290105746,0.154663270693,0.151591981743
65347,10000,Kansas City Power & Light Co,MO,Bundled,Investor Owned,0.0839285508471,0.062785300905,0.10522318504
36207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.105761195393,0.0602924366735,0.114943267065
08076,15477,Public Service Elec & Gas Co,NJ,Delivery,Investor Owned,0.0445110695502,0.0441860008086,0.0456434404971
48189,5109,Detroit Edison Co,MI,Bundled,Investor Owned,0.103319837366,0.0711055711709,0.137187601643
20876,15263,The Potomac Edison Company,MD,Delivery,Investor Owned,0.0220338278655,0.0130979430332,0.0307905932881
14210,13573,Niagara Mohawk Power Corp.,NY,Delivery,Investor Owned,0.0602394644126,0.0376739359195,0.0902009287268
60412,4110,Commonwealth Edison Co,IL,Bundled,Investor Owned,0.100818909123,0.0672800481257,0.126237537519
10707,4226,Consolidated Edison Co-NY Inc,NY,Bundled,Investor Owned,0.207022402207,0.186480275464,0.255883549667
60091,4110,Commonwealth Edison Co,IL,Bundled,Investor Owned,0.100818909123,0.0672800481257,0.126237537519
45370,4922,Dayton Power & Light Co,OH,Bundled,Investor Owned,0.110168784102,0.0935461854555,0.132174675324
35584,195,Alabama Power Co,AL,Bundled,Investor Owned,0.105761195393,0.0602924366735,0.114943267065
16120,14716,Pennsylvania Power Co,PA,Delivery,Investor Owned,0.0123889756827,0.00349188395845,0.0444360398378
55038,13781,Northern States Power Co - Minnesota,MN,Bundled,Investor Owned,0.0841873089134,0.0681942242925,0.111871604427
06498,4176,Connecticut Light & Power Co,CT,Bundled,Investor Owned,0.155305860046,0.124954144688,0.172784864003
55811,12647,Minnesota Power Inc,MN,Bundled,Investor Owned,0.0821499832957,0.0521621870249,0.0937565429366
46864,9324,Indiana Michigan Power Co,IN,Bundled,Investor Owned,0.0710620147831,0.0530697337372,0.0834739376984
20006,15270,Potomac Electric Power Co,DC,Bundled,Investor Owned,0.143585317084,0,0.134360948962
44688,14006,Ohio Power Co,OH,Delivery,Investor Owned,0.0211440437665,0.0166783677366,0.0411685777019
71638,814,Entergy Arkansas Inc,AR,Bundled,Investor Owned,0.0735129328027,0.0594501735324,0.0908957415387
21263,1167,Baltimore Gas & Electric Co,MD,Delivery,Investor Owned,0.0208319666328,0.0127224664944,0.0387422546228
11369,4226,Consolidated Edison Co-NY Inc,NY,Bundled,Investor Owned,0.207022402207,0.186480275464,0.255883549667
65325,12698,KCP&L Greater Missouri Operations Co.,MO,Bundled,Investor Owned,0.0820527708575,0.0612682023365,0.103866870171
32562,7801,Gulf Power Co,FL,Bundled,Investor Owned,0.104848571058,0.0880458423028,0.120146984723
63031,19436,Union Electric Co - (MO),MO,Bundled,Investor Owned,0.0739452457931,0.0503920669116,0.0917193891547
93636,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
45809,14006,Ohio Power Co,OH,Bundled,Investor Owned,0.0941051893015,0.05438076086,0.112022297446
01524,11804,Massachusetts Electric Co,MA,Delivery,Investor Owned,0.044144134938,0.0372516938506,0.0574635315201
16728,20387,West Penn Power Company,PA,Bundled,Investor Owned,0.0876536534112,0.0736572279699,0.0978299037709
58011,14232,Otter Tail Power Co,ND,Bundled,Investor Owned,0.0682686814286,0.059734664486,0.0769118644674
21013,1167,Baltimore Gas & Electric Co,MD,Delivery,Investor Owned,0.0208319666328,0.0127224664944,0.0387422546228
84737,14354,PacifiCorp,UT,Bundled,Investor Owned,0.0718483299508,0.0492487493384,0.0906282337084
32902,6452,Florida Power & Light Co,FL,Bundled,Investor Owned,0.0916089018318,0.073936822339,0.106422375844
92365,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
84069,14354,PacifiCorp,UT,Bundled,Investor Owned,0.0718483299508,0.0492487493384,0.0906282337084
04927,3266,Central Maine Power Co,ME,Bundled,Investor Owned,0.115879828326,0,0.159420289855
16364,14711,Pennsylvania Electric Co,PA,Bundled,Investor Owned,0.103665281593,0.093954613241,0.137058440442
97014,14354,PacifiCorp,OR,Bundled,Investor Owned,0.0814672954453,0.0638780896957,0.0972998245464
90505,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
48618,4254,Consumers Energy Co,MI,Bundled,Investor Owned,0.112411513551,0.0813493564469,0.133706143047
75631,17698,Southwestern Electric Power Co,TX,Bundled,Investor Owned,0.063361497895,0.0523869807842,0.0786961199144
06075,4176,Connecticut Light & Power Co,CT,Delivery,Investor Owned,0.0610970074796,0.0446359775655,0.0783138884037
06018,4176,Connecticut Light & Power Co,CT,Bundled,Investor Owned,0.155305860046,0.124954144688,0.172784864003
53102,20847,Wisconsin Electric Power Co,WI,Bundled,Investor Owned,0.114723710636,0.0823695718427,0.139680752838
18044,12390,Metropolitan Edison Co,PA,Delivery,Investor Owned,0.0253935687269,0.0107110845772,0.0460441889912
17272,20387,West Penn Power Company,PA,Bundled,Investor Owned,0.0876536534112,0.0736572279699,0.0978299037709
44012,3755,Cleveland Electric Illum Co,OH,Bundled,Investor Owned,0.12563433844,0.0572636110379,0.116363088107
06520,19497,United Illuminating Co,CT,Bundled,Investor Owned,0.173161786592,0.14927095353,0.222593623717
49101,9324,Indiana Michigan Power Co,MI,Bundled,Investor Owned,0.0865560565707,0.0706795950536,0.0855352909021
60457,4110,Commonwealth Edison Co,IL,Bundled,Investor Owned,0.100818909123,0.0672800481257,0.126237537519
70549,55936,Entergy Gulf States - LA LLC,LA,Bundled,Investor Owned,0.0800759103287,0.0542378053501,0.0889908471614
42024,10171,Kentucky Utilities Co,KY,Bundled,Investor Owned,0.0787530976458,0.0565570657187,0.0802458659616
88558,5701,El Paso Electric Co,TX,Bundled,Investor Owned,0.104321263682,0.0683961852449,0.118689771676
95471,14328,Pacific Gas & Electric Co,CA,Delivery,Investor Owned,0.0714378205802,0.0465903714613,0.146238365176
94021,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
17249,14711,Pennsylvania Electric Co,PA,Bundled,Investor Owned,0.103665281593,0.093954613241,0.137058440442
93729,14328,Pacific Gas & Electric Co,CA,Delivery,Investor Owned,0.0714378205802,0.0465903714613,0.146238365176
93040,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
86343,803,Arizona Public Service Co,AZ,Bundled,Investor Owned,0.101075474555,0.0783276980718,0.116110556401
24066,19876,Virginia Electric & Power Co,VA,Bundled,Investor Owned,0.0773713939011,0.0624813590215,0.106423207796
10467,4226,Consolidated Edison Co-NY Inc,NY,Bundled,Investor Owned,0.207022402207,0.186480275464,0.255883549667
34102,6452,Florida Power & Light Co,FL,Bundled,Investor Owned,0.0916089018318,0.073936822339,0.106422375844
41183,22053,Kentucky Power Co,KY,Bundled,Investor Owned,0.0985702795542,0.0602678674454,0.0965700136762
08817,15477,Public Service Elec & Gas Co,NJ,Bundled,Investor Owned,0.136582522167,0.0668426458873,0.165733958354
24370,733,Appalachian Power Co,VA,Bundled,Investor Owned,0.0745212648162,0.0565963233683,0.0935699366575
63019,19436,Union Electric Co - (MO),MO,Bundled,Investor Owned,0.0739452457931,0.0503920669116,0.0917193891547
01813,54913,NSTAR Electric Company,MA,Delivery,Investor Owned,0.0814340424492,0.0579050466207,0.0884787193034
44281,13998,Ohio Edison Co,OH,Delivery,Investor Owned,0.035332739464,0.0116437698736,0.0442974611511
14883,13511,New York State Elec & Gas Corp,NY,Bundled,Investor Owned,0.0962214565168,0.0584385832768,0.108261463392
89195,13407,Nevada Power Co,NV,Delivery,Investor Owned,0.0103022559788,0,0
43603,18997,The Toledo Edison Co,OH,Delivery,Investor Owned,0.0432032874559,0.00403001696123,0.0509007525677
91001,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
44429,13998,Ohio Edison Co,OH,Delivery,Investor Owned,0.035332739464,0.0116437698736,0.0442974611511
48727,5109,Detroit Edison Co,MI,Delivery,Investor Owned,0.022641072496,0.0119458530419,0.0589595375723
32829,6455,Progress Energy Florida Inc,FL,Bundled,Investor Owned,0.0987181638016,0.087741840383,0.128041631086
20420,15270,Potomac Electric Power Co,DC,Bundled,Investor Owned,0.143585317084,0,0.134360948962
15963,14711,Pennsylvania Electric Co,PA,Bundled,Investor Owned,0.103665281593,0.093954613241,0.137058440442
73116,14063,Oklahoma Gas & Electric Co,OK,Bundled,Investor Owned,0.073935974865,0.0542634653107,0.0966985246037
66617,22500,Westar Energy Inc,KS,Bundled,Investor Owned,0.0805202383085,0.0683712961537,0.0992722208831
92838,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
07601,15477,Public Service Elec & Gas Co,NJ,Bundled,Investor Owned,0.136582522167,0.0668426458873,0.165733958354
03301,24590,Unitil Energy Systems,NH,Delivery,Investor Owned,0.0554402175502,0.0384093990059,0.064281190627
13775,13511,New York State Elec & Gas Corp,NY,Bundled,Investor Owned,0.0962214565168,0.0584385832768,0.108261463392
35457,195,Alabama Power Co,AL,Bundled,Investor Owned,0.105761195393,0.0602924366735,0.114943267065
14818,13511,New York State Elec & Gas Corp,NY,Bundled,Investor Owned,0.0962214565168,0.0584385832768,0.108261463392
41181,22053,Kentucky Power Co,KY,Bundled,Investor Owned,0.0985702795542,0.0602678674454,0.0965700136762
95448,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
61254,12341,MidAmerican Energy Co,IL,Delivery,Investor Owned,0.0113171958504,0,0
94946,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
11360,4226,Consolidated Edison Co-NY Inc,NY,Bundled,Investor Owned,0.207022402207,0.186480275464,0.255883549667
97533,14354,PacifiCorp,OR,Delivery,Investor Owned,0.0375944302892,0,0
12451,3249,Central Hudson Gas & Elec Corp,NY,Delivery,Investor Owned,0.0337876918229,0.0140622317575,0.0849244792143
95445,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
52158,9417,Interstate Power and Light Co,IA,Bundled,Investor Owned,0.0922343168969,0.0589686412318,0.130070934252
01966,11804,Massachusetts Electric Co,MA,Delivery,Investor Owned,0.044144134938,0.0372516938506,0.0574635315201
44685,13998,Ohio Edison Co,OH,Delivery,Investor Owned,0.035332739464,0.0116437698736,0.0442974611511
02652,54913,NSTAR Electric Company,MA,Delivery,Investor Owned,0.0814340424492,0.0579050466207,0.0884787193034
06260,4176,Connecticut Light & Power Co,CT,Bundled,Investor Owned,0.155305860046,0.124954144688,0.172784864003
19930,5027,Delmarva Power,DE,Bundled,Investor Owned,0.121576502715,0.0630486250228,0.143532521837
17868,14715,PPL Electric Utilities Corp,PA,Delivery,Investor Owned,0.0141075273666,0.00478284675397,0.0403138819398
92883,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
03885,24590,Unitil Energy Systems,NH,Delivery,Investor Owned,0.0554402175502,0.0384093990059,0.064281190627
04041,3266,Central Maine Power Co,ME,Bundled,Investor Owned,0.115879828326,0,0.159420289855
93222,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
18470,14715,PPL Electric Utilities Corp,PA,Bundled,Investor Owned,0.144667651149,0.263364462247,0.125623299904
85710,24211,Tucson Electric Power Co,AZ,Bundled,Investor Owned,0.109955082963,0.0711669600159,0.0987414390696
25962,733,Appalachian Power Co,WV,Bundled,Investor Owned,0.0807008761223,0.0616414454507,0.0906348476128
71711,814,Entergy Arkansas Inc,AR,Bundled,Investor Owned,0.0735129328027,0.0594501735324,0.0908957415387
95926,14328,Pacific Gas & Electric Co,CA,Delivery,Investor Owned,0.0714378205802,0.0465903714613,0.146238365176
49841,19578,Upper Peninsula Power Co,MI,Bundled,Investor Owned,0.145608705236,0.0583757296446,0.183441270124
16667,14711,Pennsylvania Electric Co,PA,Delivery,Investor Owned,0.0209279925315,0.0112916897167,0.0613882277304
71172,17698,Southwestern Electric Power Co,LA,Bundled,Investor Owned,0.0688663103814,0.0574750978098,0.081692987268
58601,12199,Montana-Dakota Utilities Co,ND,Bundled,Investor Owned,0.0746050344745,0.0603963825284,0.079774222789
92341,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
03842,24590,Unitil Energy Systems,NH,Bundled,Investor Owned,0.14278770584,0.117416244077,0.138139412033
16141,14716,Pennsylvania Power Co,PA,Delivery,Investor Owned,0.0123889756827,0.00349188395845,0.0444360398378
01922,11804,Massachusetts Electric Co,MA,Bundled,Investor Owned,0.134146916677,0.123324396783,0.134916962439
17580,14715,PPL Electric Utilities Corp,PA,Bundled,Investor Owned,0.144667651149,0.263364462247,0.125623299904
12490,3249,Central Hudson Gas & Elec Corp,NY,Delivery,Investor Owned,0.0337876918229,0.0140622317575,0.0849244792143
98378,15500,Puget Sound Energy Inc,WA,Delivery,Investor Owned,0.00851560757351,0.00498155334832,0
74071,14063,Oklahoma Gas & Electric Co,OK,Bundled,Investor Owned,0.073935974865,0.0542634653107,0.0966985246037
73065,15474,Public Service Co of Oklahoma,OK,Bundled,Investor Owned,0.0682180100051,0.0486283247796,0.0849155367792
02882,13214,The Narragansett Electric Co,RI,Bundled,Investor Owned,0.124878892512,0.117139315343,0.14273798829
49645,4254,Consumers Energy Co,MI,Bundled,Investor Owned,0.112411513551,0.0813493564469,0.133706143047
90747,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
20883,15270,Potomac Electric Power Co,MD,Delivery,Investor Owned,0.0337623318457,0.018373916085,0.0450262164743
06494,19497,United Illuminating Co,CT,Delivery,Investor Owned,0.0713465582804,0.0601970322962,0.11658636004
29030,17539,South Carolina Electric&Gas Co,SC,Bundled,Investor Owned,0.102813096963,0.0694637739932,0.125138540463
15133,5487,Duquesne Light Co,PA,Bundled,Investor Owned,0.104442012274,0.0866833864365,0.14976914814
20406,15270,Potomac Electric Power Co,DC,Bundled,Investor Owned,0.143585317084,0,0.134360948962
51501,12341,MidAmerican Energy Co,IA,Bundled,Investor Owned,0.0648143167509,0.0408219608152,0.0839548306026
19132,14940,PECO Energy Co,PA,Delivery,Investor Owned,0.0282737680488,0.0114689112517,0.0655963088587
84049,14354,PacifiCorp,UT,Bundled,Investor Owned,0.0718483299508,0.0492487493384,0.0906282337084
21542,15263,The Potomac Edison Company,MD,Bundled,Investor Owned,0.108714153562,0.0801030353127,0.107445108093
91911,16609,San Diego Gas & Electric Co,CA,Delivery,Investor Owned,0.0591793406417,0.0386340040585,0.0806024369939
86002,803,Arizona Public Service Co,AZ,Bundled,Investor Owned,0.101075474555,0.0783276980718,0.116110556401
12879,13573,Niagara Mohawk Power Corp.,NY,Bundled,Investor Owned,0.131290105746,0.154663270693,0.151591981743
21090,1167,Baltimore Gas & Electric Co,MD,Bundled,Investor Owned,0.118867505872,0.104325959468,0.137617618568
18958,14940,PECO Energy Co,PA,Delivery,Investor Owned,0.0282737680488,0.0114689112517,0.0655963088587
80256,15466,Public Service Co of Colorado,CO,Bundled,Investor Owned,0.0952437057452,0.0653864433452,0.111930007881
06127,4176,Connecticut Light & Power Co,CT,Delivery,Investor Owned,0.0610970074796,0.0446359775655,0.0783138884037
12065,13573,Niagara Mohawk Power Corp.,NY,Delivery,Investor Owned,0.0602394644126,0.0376739359195,0.0902009287268
48849,4254,Consumers Energy Co,MI,Bundled,Investor Owned,0.112411513551,0.0813493564469,0.133706143047
71316,11241,Entergy Louisiana Inc,LA,Bundled,Investor Owned,0.0888467540791,0.054731295756,0.0889228034238
36113,195,Alabama Power Co,AL,Bundled,Investor Owned,0.105761195393,0.0602924366735,0.114943267065
43555,18997,The Toledo Edison Co,OH,Bundled,Investor Owned,0.126733141662,0.0371892953603,0.117686492352
97604,14354,PacifiCorp,OR,Bundled,Investor Owned,0.0814672954453,0.0638780896957,0.0972998245464
14056,13573,Niagara Mohawk Power Corp.,NY,Bundled,Investor Owned,0.131290105746,0.154663270693,0.151591981743
15639,20387,West Penn Power Company,PA,Delivery,Investor Owned,0.0114469669773,0.00388076726936,0.0260022258659
72068,814,Entergy Arkansas Inc,AR,Bundled,Investor Owned,0.0735129328027,0.0594501735324,0.0908957415387
96155,14328,Pacific Gas & Electric Co,CA,Delivery,Investor Owned,0.0714378205802,0.0465903714613,0.146238365176
25053,733,Appalachian Power Co,WV,Bundled,Investor Owned,0.0807008761223,0.0616414454507,0.0906348476128
50123,9417,Interstate Power and Light Co,IA,Bundled,Investor Owned,0.0922343168969,0.0589686412318,0.130070934252
06492,19497,United Illuminating Co,CT,Bundled,Investor Owned,0.173161786592,0.14927095353,0.222593623717
17403,12390,Metropolitan Edison Co,PA,Bundled,Investor Owned,0.121340575634,0.107426201308,0.134087432801
33610,18454,Tampa Electric Co,FL,Bundled,Investor Owned,0.101765100297,0.0894016860878,0.114102765866
63846,19436,Union Electric Co - (MO),MO,Bundled,Investor Owned,0.0739452457931,0.0503920669116,0.0917193891547
16803,20387,West Penn Power Company,PA,Delivery,Investor Owned,0.0114469669773,0.00388076726936,0.0260022258659
93553,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
44695,14006,Ohio Power Co,OH,Delivery,Investor Owned,0.0211440437665,0.0166783677366,0.0411685777019
17065,12390,Metropolitan Edison Co,PA,Bundled,Investor Owned,0.121340575634,0.107426201308,0.134087432801
27973,19876,Virginia Electric & Power Co,NC,Bundled,Investor Owned,0.0783354275525,0.04808491435,0.0921570497869
45061,3542,Duke Energy Ohio Inc,OH,Bundled,Investor Owned,0.128009982191,0.119494389365,0.121479174374
66409,22500,Westar Energy Inc,KS,Bundled,Investor Owned,0.0805202383085,0.0683712961537,0.0992722208831
97388,14354,PacifiCorp,OR,Delivery,Investor Owned,0.0375944302892,0,0
32911,6452,Florida Power & Light Co,FL,Bundled,Investor Owned,0.0916089018318,0.073936822339,0.106422375844
20814,15270,Potomac Electric Power Co,MD,Delivery,Investor Owned,0.0337623318457,0.018373916085,0.0450262164743
95468,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
45130,3542,Duke Energy Ohio Inc,OH,Bundled,Investor Owned,0.128009982191,0.119494389365,0.121479174374
13786,13511,New York State Elec & Gas Corp,NY,Bundled,Investor Owned,0.0962214565168,0.0584385832768,0.108261463392
91987,16609,San Diego Gas & Electric Co,CA,Bundled,Investor Owned,0.160506947817,0.130422158627,0.177039321055
15853,20387,West Penn Power Company,PA,Bundled,Investor Owned,0.0876536534112,0.0736572279699,0.0978299037709
83352,9191,Idaho Power Co,ID,Bundled,Investor Owned,0.0555799931743,0.0494923529357,0.0740400401055
19063,14940,PECO Energy Co,PA,Delivery,Investor Owned,0.0282737680488,0.0114689112517,0.0655963088587
83535,20169,Avista Corp,ID,Bundled,Investor Owned,0.0880725389629,0.0550358015483,0.0899921326651
32706,6452,Florida Power & Light Co,FL,Bundled,Investor Owned,0.0916089018318,0.073936822339,0.106422375844
92658,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
47638,17633,Southern Indiana Gas & Elec Co,IN,Bundled,Investor Owned,0.121595311737,0.0777519187232,0.142065053324
61073,4110,Commonwealth Edison Co,IL,Bundled,Investor Owned,0.100818909123,0.0672800481257,0.126237537519
90261,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
38628,12685,Entergy Mississippi Inc,MS,Bundled,Investor Owned,0.0812247120365,0.06266679791,0.0838031853863
14028,13573,Niagara Mohawk Power Corp.,NY,Bundled,Investor Owned,0.131290105746,0.154663270693,0.151591981743
80239,15466,Public Service Co of Colorado,CO,Bundled,Investor Owned,0.0952437057452,0.0653864433452,0.111930007881
33674,18454,Tampa Electric Co,FL,Bundled,Investor Owned,0.101765100297,0.0894016860878,0.114102765866
60689,4110,Commonwealth Edison Co,IL,Delivery,Investor Owned,0.0186974631367,0.012212514272,0.0462065419874
17006,14711,Pennsylvania Electric Co,PA,Delivery,Investor Owned,0.0209279925315,0.0112916897167,0.0613882277304
61077,4110,Commonwealth Edison Co,IL,Delivery,Investor Owned,0.0186974631367,0.012212514272,0.0462065419874
35010,195,Alabama Power Co,AL,Bundled,Investor Owned,0.105761195393,0.0602924366735,0.114943267065
06824,19497,United Illuminating Co,CT,Delivery,Investor Owned,0.0713465582804,0.0601970322962,0.11658636004
04846,3266,Central Maine Power Co,ME,Bundled,Investor Owned,0.115879828326,0,0.159420289855
32341,6455,Progress Energy Florida Inc,FL,Bundled,Investor Owned,0.0987181638016,0.087741840383,0.128041631086
15490,20387,West Penn Power Company,PA,Bundled,Investor Owned,0.0876536534112,0.0736572279699,0.0978299037709
93725,14328,Pacific Gas & Electric Co,CA,Delivery,Investor Owned,0.0714378205802,0.0465903714613,0.146238365176
03055,15472,Public Service Co of NH,NH,Delivery,Investor Owned,0.0465577112029,0.0341519424306,0.0649099300283
13353,13573,Niagara Mohawk Power Corp.,NY,Delivery,Investor Owned,0.0602394644126,